Fixtures,Expected Goal Difference,Actual Goal Difference
Southamptonvs. QPR,-1.0,-1
Stokevs. West Ham,-1.0,-1
Sunderlandvs. Fulham,0.0,0
Swanseavs. Newcastle,1.0,1
Wiganvs. Liverpool,-4.0,-4
Tottenhamvs. Arsenal,1.0,1
Aston Villavs. Man City,-1.0,-1
Norwichvs. Southampton,0.0,0
QPRvs. Sunderland,2.0,2
Readingvs. Aston Villa,-1.0,-1
West Bromvs. Swansea,1.0,1
Liverpoolvs. Tottenham,1.0,1
Newcastlevs. Stoke,1.0,1
Aston Villavs. QPR,1.0,1
Evertonvs. Man City,2.0,2
Man Unitedvs. Reading,1.0,1
Southamptonvs. Liverpool,2.0,2
Stokevs. West Brom,0.0,0
Swanseavs. Arsenal,-2.0,-2
Chelseavs. West Ham,2.0,2
Sunderlandvs. Norwich,0.0,0
Tottenhamvs. Fulham,-1.0,-1
Wiganvs. Newcastle,1.0,1
Arsenalvs. Reading,3.0,3
Evertonvs. Stoke,1.0,1
Man Cityvs. Newcastle,4.0,4
Southamptonvs. Chelsea,1.0,1
Sunderlandvs. Man United,-1.0,-1
Swanseavs. Tottenham,-1.0,-1
West Hamvs. West Brom,2.0,2
Wiganvs. Norwich,1.0,1
Aston Villavs. Liverpool,-1.0,-1
Fulhamvs. QPR,1.0,1
Norwichvs. Swansea,0.0,0
Readingvs. Southampton,-2.0,-2
Stokevs. Aston Villa,-2.0,-2
West Bromvs. Arsenal,-1.0,-1
Chelseavs. Sunderland,1.0,1
Liverpoolvs. West Ham,0.0,0
Newcastlevs. Fulham,1.0,1
QPRvs. Wigan,0.0,0
Tottenhamvs. Everton,0.0,0
Man Unitedvs. Man City,-1.0,-1
Arsenalvs. Norwich,2.0,2
Aston Villavs. Fulham,0.0,0
Evertonvs. QPR,2.0,2
Readingvs. Liverpool,0.0,0
Southamptonvs. West Ham,0.0,0
Newcastlevs. Sunderland,-3.0,-3
Stokevs. Man United,-2.0,-2
Arsenalvs. Everton,0.0,0
Fulhamvs. Chelsea,-3.0,-3
Man Cityvs. Wigan,1.0,1
West Hamvs. Man United,0.0,0
Fulhamvs. Arsenal,-1.0,-1
Norwichvs. Reading,1.0,1
QPRvs. Stoke,-2.0,-2
Sunderlandvs. Everton,1.0,1
Swanseavs. Southampton,0.0,0
West Bromvs. Newcastle,0.0,0
West Hamvs. Wigan,2.0,2
